Model,filename,OHS_issues
OFA,IMG_6662.JPG, a window with a clock on it
OFA,IMG-20251011-WA0013.jpg, the sidewalk is cracked and the curb is peeling away from the curb
OFA,IMG_6627.JPG, this is a picture of a poster i made for a friend of mine
OFA,IMG_6646.JPG," the wall of the old city of jerusalem, israel."
OFA,train_414.jpg, this is a close up of the wires that run across the top of
OFA,IMG_6638.JPG, a crab on the beach
OFA,IMG_6644.JPG, a house with a solar panel on the roof
OFA,train_5.jpg, a close up of a white wall with a hole in the middle.
OFA,train_463.jpg, the wiring of the power supply.
OFA,IMG_6663.JPG, a window with a view of the sky.
OFA,IMG_6607.JPG, a mirror on the wall of an art gallery.
OFA,IMG-20251011-WA0006.jpg, a stop sign in the middle of a parking lot.
OFA,IMG_6593.JPG, this is the sign on the wall in front of the door.
OFA,IMG20251010123507.jpg, the sign at the entrance to the building.
OFA,IMG_6649.JPG, a red and white fire extinguisher on a brick wall
OFA,IMG_6592.JPG, how to install a light switch on a wall
OFA,IMG-20251011-WA0024.jpg, the electrical outlet in the bathroom.
OFA,IMG_6611.JPG, a square in the middle of a cobblestone street
OFA,IMG_6596.JPG, the sign at the top of the escalator.
OFA,IMG_6630.JPG, the shadow of a tree on the wall
OFA,IMG_6631.JPG, shadow of a tree on the ground
OFA,IMG_6586.JPG, a skateboard ramp with a crack in it
OFA,train_175.jpg, this is a picture of an ac unit with wires coming out of it
OFA,IMG_6641.JPG, the rock wall at the top of the hill
OFA,IMG_6624.JPG, a tree in the middle of the road
OFA,IMG_6625.JPG, a manhole cover in the middle of the road
OFA,IMG_6656.JPG," a palm tree is seen on a street in beijing, china"
OFA,IMG_6612.JPG, a crack in the wall
OFA,IMG_6617.JPG, close up of a concrete wall with a shadow of a tree on it
OFA,IMG_6650.JPG," the wall of the old city of yerevan, armenia"
OFA,IMG20251010115850.jpg, bricks on the roof of a building
OFA,IMG_6609.JPG, this is a close up of some of the holes in the rock.
OFA,IMG20251010121523.jpg, a brick wall with two windows and a pipe running down the side.
OFA,IMG20251010115442.jpg, a patch of dirt on the ground
OFA,IMG20251010123142.jpg, the sky is reflected in the window
OFA,IMG_6637.JPG, a pile of rocks in the parking lot
OFA,IMG_6618.JPG, aerial drone shot of a tractor plowing a field with a tractor trailer
OFA,IMG_6629.JPG, shadows of trees on a wall
OFA,IMG-20251011-WA0021.jpg, the ruins of the ancient city of pompeii
OFA,IMG_6643.JPG, this is a picture of a curb that has been ripped off by a
OFA,IMG20251010121525.jpg, the brickwork on the side of the building
OFA,IMG_6648.JPG," shadows on the wall of a building in hanoi, viet"
OFA,IMG_6626.JPG, the texture of the concrete
OFA,IMG-20251011-WA0004.jpg, a crack in the road
OFA,IMG_6642.JPG, a tree and a manhole cover
OFA,IMG_6603.JPG, a hole in the ceiling.
OFA,IMG20251010122840.jpg, windows on the side of a building
OFA,IMG_6654.JPG, a green sign on a wall with plants growing on it.
OFA,IMG_6604.JPG, this is a picture of an electrical outlet on the wall of a room
OFA,IMG_6583.JPG, a window in the basement of a building in the city of london
OFA,IMG_6584.JPG, a crack in the wall
OFA,IMG_6658.JPG, looking up at the building from the street.
OFA,IMG_6605.JPG, the electrical outlet on the wall
OFA,IMG_6610.JPG, crack in the road
OFA,IMG_6599.JPG, the stairs to the second floor.
OFA,IMG_6651.JPG, footprints in the sand
OFA,IMG-20251011-WA0016.jpg, a tree in front of a parking lot
OFA,IMG_6634.JPG, the shadow of a man
OFA,IMG-20251011-WA0012.jpg, this is a sign in the bathroom of a toilet.
OFA,IMG_6657.JPG, a palm tree lies on the street in front of a residential building in
OFA,IMG-20251011-WA0011.jpg, a sign on the door
OFA,IMG_6653.JPG, a rock with a hole in it
OFA,IMG_6620.JPG, the stairs leading up to the top of the hill
OFA,IMG_6622.JPG, the stairs leading up to the top of the hill
OFA,IMG-20251011-WA0008.jpg," a sign in the bathroom of a hotel in jakarta, ind"
OFA,IMG_6598.JPG, this is a picture of a metal mesh fence installed in a building.
OFA,IMG-20251011-WA0026.jpg, the stairs leading up to the second floor.
OFA,IMG_6635.JPG, this is a close up of the damage done to the roof.
OFA,IMG_6645.JPG, a window on the side of a building
OFA,train_180.jpg, this is what the room looked like when we moved in.
OFA,IMG_6621.JPG, the stairs leading up to the top of the hill.
OFA,IMG_6601.JPG, a view through a chain link fence.
OFA,IMG_6619.JPG, a sign on a tree
OFA,train_219.jpg, this is a close up of a white wall with a crack in it
OFA,IMG_6633.JPG, footprints in the sand
OFA,IMG20251010120710.jpg, a shadow of a person holding a cage of pigeons in the street
