class,image,output
Exposed wires,IMG_6603.JPG,a hole in the wall
Exposed wires,IMG_6604.JPG,a wall outlet is a dangerous place to be
Exposed wires,IMG_6605.JPG,a power outlet is plugged into a wall
Exposed wires,IMG_6609.JPG,a hole in the wall
Exposed wires,train_1.jpg,i think there is a risk of electrocution
Exposed wires,train_103.jpg,a dimmer switch is plugged into a wall outlet
Exposed wires,train_175.jpg,a wire is plugged into a wall outlet
Exposed wires,train_180.jpg,a wire is plugged into a wall
Exposed wires,train_414.jpg,a machine is being used to cut metal
Exposed wires,train_427.jpg,a person is standing on a floor with a laptop
Exposed wires,train_463.jpg,a cluttered electrical outlet
Fall risks,IMG-20251011-WA0003.jpg,"stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs, stairs,"
Fall risks,IMG-20251011-WA0017.jpg,a stairway with a large gap between the steps
Fall risks,IMG-20251011-WA0018.jpg,a pothole in the road
Fall risks,IMG-20251011-WA0021.jpg,a person is walking down a set of stairs
Fall risks,IMG-20251011-WA0025.jpg,a stairway with a metal handrail
Fall risks,IMG-20251011-WA0026.jpg,stairs are not properly secured
Fall risks,IMG_6608.JPG,a person is walking down a sidewalk
Fall risks,IMG_6620.JPG,a cat is on the steps
Fall risks,IMG_6621.JPG,a stairway with a metal railing
Fall risks,IMG_6622.JPG,stairs are not safe to climb
Unclear Emergency signs and exits,IMG-20251011-WA0006.jpg,There is a stop sign in the middle of the street
Unclear Emergency signs and exits,IMG-20251011-WA0008.jpg,sanitize your hands here
Unclear Emergency signs and exits,IMG-20251011-WA0010.jpg,a person is running away from a sign
Unclear Emergency signs and exits,IMG-20251011-WA0011.jpg,a sign that says rest rooms
Unclear Emergency signs and exits,IMG-20251011-WA0012.jpg,i think the sign is a little too ambiguous
Unclear Emergency signs and exits,IMG-20251011-WA0014.jpg,There is a tree in the way of the road
Unclear Emergency signs and exits,IMG-20251011-WA0015.jpg,a green sign with a letter g
Unclear Emergency signs and exits,IMG-20251011-WA0016.jpg,There is a stop sign in the middle of the road
Unclear Emergency signs and exits,IMG-20251011-WA0019.jpg,no drinks allowed in training
Unclear Emergency signs and exits,IMG-20251011-WA0023.jpg,a car is parked in front of a sign
Unclear Emergency signs and exits,IMG20251010123458.jpg,a person is standing in front of a door
Unclear Emergency signs and exits,IMG20251010123507.jpg,a person is standing in front of a door
Unclear Emergency signs and exits,IMG_20251010_115622.jpg,a palm tree is in the middle of the road
Unclear Emergency signs and exits,IMG_20251010_115654.jpg,a palm tree in the middle of a street
Unclear Emergency signs and exits,IMG_6593.JPG,a fire extinguisher is on a wooden stand
Unclear Emergency signs and exits,IMG_6596.JPG,no food or drinks allowed in this lab
Unclear Emergency signs and exits,IMG_6615.JPG,a sign that says 'no smoking'
Unclear Emergency signs and exits,IMG_6616.JPG,a sign that says additional parking
Unclear Emergency signs and exits,IMG_6619.JPG,a sign pointing to a tree
Unclear Emergency signs and exits,IMG_6623.JPG,ie no dogs allowed
Unclear Emergency signs and exits,IMG_6624.JPG,a tree trunk is rotting and a sign is on it
Unclear Emergency signs and exits,IMG_6627.JPG,a student is eating eggs
Unclear Emergency signs and exits,IMG_6639.JPG,a car is driving over a highway sign
Unclear Emergency signs and exits,IMG_6647.JPG,a tree is growing in the middle of the road
Unclear Emergency signs and exits,IMG_6652.JPG,no smoking sign
Unclear Emergency signs and exits,IMG_6654.JPG,a sign that says 'no smoking'
Unclear Emergency signs and exits,IMG_6655.JPG,a sign that says 'no smoking'
Unclear Emergency signs and exits,IMG_6656.JPG,a person is standing in front of a building with a blue sign
Unclear Emergency signs and exits,IMG_6657.JPG,a pedestrian crossing sign
Uneven Pavements,IMG-20251011-WA0004.jpg,a pothole in the road
Uneven Pavements,IMG-20251011-WA0005.jpg,a pothole in the road
Uneven Pavements,IMG-20251011-WA0009.jpg,a fire hydrant is on the sidewalk
Uneven Pavements,IMG-20251011-WA0013.jpg,a person is standing on a sidewalk with a crack in the pavement
Uneven Pavements,IMG-20251011-WA0020.jpg,a pothole in the road
Uneven Pavements,IMG-20251011-WA0022.jpg,a manhole cover is on the ground
Uneven Pavements,IMG20251010115431.jpg,a parking lot with a large pothole
Uneven Pavements,IMG20251010115442.jpg,a parking lot with a crack in the pavement
Uneven Pavements,IMG20251010115448.jpg,a parking lot with a large hole in the middle
Uneven Pavements,IMG20251010115850.jpg,a brick is laying on the ground
Uneven Pavements,IMG20251010120710.jpg,a broken drain
Uneven Pavements,IMG20251010122146.jpg,a bicycle parked on the sidewalk
Uneven Pavements,IMG_6610.JPG,a person is holding a camera on a sidewalk
Uneven Pavements,IMG_6611.JPG,a manhole cover on a sidewalk
Uneven Pavements,IMG_6613.JPG,a crack in the pavement
Uneven Pavements,IMG_6614.JPG,a person is standing on a sidewalk with a shadow
Uneven Pavements,IMG_6617.JPG,a crack in the sidewalk
Uneven Pavements,IMG_6618.JPG,"a) no, there is no risk"
Uneven Pavements,IMG_6625.JPG,a manhole cover is broken in the road
Uneven Pavements,IMG_6626.JPG,cracks in the road
Uneven Pavements,IMG_6628.JPG,a car is parked in a parking lot
Uneven Pavements,IMG_6629.JPG,a tree is in the middle of the road
Uneven Pavements,IMG_6630.JPG,a car parked in a lane with a tree in the background
Uneven Pavements,IMG_6631.JPG,a dog paw print in the sidewalk
Uneven Pavements,IMG_6632.JPG,a tree has fallen on a car park
Uneven Pavements,IMG_6633.JPG,a hole in the ground
Uneven Pavements,IMG_6634.JPG,a person is walking on a concrete sidewalk
Uneven Pavements,IMG_6635.JPG,a puddle in the middle of a parking lot
Uneven Pavements,IMG_6636.JPG,a pile of garbage in a parking lot
Uneven Pavements,IMG_6637.JPG,a pile of rubble in a parking lot
Uneven Pavements,IMG_6638.JPG,a broken glass
Uneven Pavements,IMG_6643.JPG,a manhole cover is unsecured and a child could fall in it
Uneven Pavements,IMG_6646.JPG,a parked car is parked on a sidewalk
Uneven Pavements,IMG_6648.JPG,a car is parked on the street
Uneven Pavements,IMG_6649.JPG,a hazard to pedestrians
Uneven Pavements,IMG_6650.JPG,a person is walking on a sidewalk with a broken drain
Uneven Pavements,IMG_6651.JPG,a puddle of water on the road
