class,image,output
Exposed wires,IMG_6605.JPG,an electrical outlet attached to a wall
Exposed wires,IMG_6609.JPG,mold mold mold mold mold mold mold mold mold mold
Exposed wires,train_1.jpg,a wall with wires and wires attached to it
Exposed wires,train_103.jpg,an electrical outlet in the ceiling of a house
Exposed wires,train_175.jpg,a black chair with a white power cord attached to it
Exposed wires,train_180.jpg,the wires are connected to the wall in the room
Exposed wires,train_414.jpg,a machine that is sitting on top of a table
Exposed wires,train_427.jpg,a white mouse sitting on top of a marble floor
Exposed wires,train_463.jpg,a pile of electronic devices sitting on top of a table
Fall risks,IMG-20251011-WA0003.jpg,a hallway in a building with tiled floors and stairs
Fall risks,IMG-20251011-WA0017.jpg,a set of stone steps leading up to a building
Fall risks,IMG-20251011-WA0018.jpg,a dog that is laying down on the ground
Fall risks,IMG-20251011-WA0021.jpg,the stairs leading up to the temple
Fall risks,IMG-20251011-WA0025.jpg,a set of stairs in front of a building
Fall risks,IMG-20251011-WA0026.jpg,stairs leading up to the second floor
Fall risks,IMG_6608.JPG,a stone wall with metal bars on it
Fall risks,IMG_6620.JPG,a stone wall with a metal railing on it
Fall risks,IMG_6621.JPG,a black metal fence with some dirt on it
Fall risks,IMG_6622.JPG,a brick wall with steps leading up to it
Unclear Emergency signs and exits,IMG-20251011-WA0006.jpg,a stop sign on the side of the road
Unclear Emergency signs and exits,IMG-20251011-WA0008.jpg,a sign on the wall in a bathroom
Unclear Emergency signs and exits,IMG-20251011-WA0010.jpg,a green and white sign hanging from the ceiling
Unclear Emergency signs and exits,IMG-20251011-WA0011.jpg,a sign on a wall that says rest rooms
Unclear Emergency signs and exits,IMG-20251011-WA0012.jpg,a sign on a wall that says rest rooms
Unclear Emergency signs and exits,IMG-20251011-WA0014.jpg,a red and white sign
Unclear Emergency signs and exits,IMG-20251011-WA0015.jpg,a green button with the letter g on it
Unclear Emergency signs and exits,IMG-20251011-WA0016.jpg,a stop sign in front of a tree
Unclear Emergency signs and exits,IMG-20251011-WA0019.jpg,a sign hanging on the side of a building
Unclear Emergency signs and exits,IMG-20251011-WA0023.jpg,a sign that is on the side of a road
Unclear Emergency signs and exits,IMG20251010123458.jpg,a sign in front of a glass door
Unclear Emergency signs and exits,IMG20251010123507.jpg,a sign in front of a glass door
Unclear Emergency signs and exits,IMG_20251010_115622.jpg,a street sign on the side of a road
Unclear Emergency signs and exits,IMG_20251010_115654.jpg,a street sign in front of some trees
Unclear Emergency signs and exits,IMG_6593.JPG,a fire exor and a fire exor on a table
Unclear Emergency signs and exits,IMG_6596.JPG,a sign that says no food drinks allowed in this lab
Unclear Emergency signs and exits,IMG_6615.JPG,a green street sign sitting on the side of a road
Unclear Emergency signs and exits,IMG_6616.JPG,a sign on a tree in front of a building
Unclear Emergency signs and exits,IMG_6619.JPG,a green street sign hanging from a tree
Unclear Emergency signs and exits,IMG_6623.JPG,a sign on the side of a road that says no parking
Unclear Emergency signs and exits,IMG_6624.JPG,a tree in the middle of a street with a sign on it
Unclear Emergency signs and exits,IMG_6627.JPG,a piece of paper with a picture of a dog on it
Unclear Emergency signs and exits,IMG_6639.JPG,a street sign on the side of a building
Unclear Emergency signs and exits,IMG_6647.JPG,a tree that has fallen down in front of a building
Unclear Emergency signs and exits,IMG_6652.JPG,a sign on the side of a building
Unclear Emergency signs and exits,IMG_6654.JPG,a sign on the side of a building with a tree in the background
Unclear Emergency signs and exits,IMG_6655.JPG,a sign on the side of a house that has been knocked by a tree
Unclear Emergency signs and exits,IMG_6656.JPG,the building where the hotel is located
Unclear Emergency signs and exits,IMG_6657.JPG,a blue sign hanging on the side of a building
Uneven Pavements,IMG-20251011-WA0004.jpg,a crack in the road
Uneven Pavements,IMG-20251011-WA0005.jpg,a person standing on a sidewalk with their feet in the ground
Uneven Pavements,IMG-20251011-WA0009.jpg,the shadow of a tree on the ground
Uneven Pavements,IMG-20251011-WA0013.jpg,a person standing on a sidewalk next to a yellow line
Uneven Pavements,IMG-20251011-WA0020.jpg,a pothole in the road next to my house
Uneven Pavements,IMG-20251011-WA0022.jpg,a manhole on the sidewalk in front of a building
Uneven Pavements,IMG20251010115431.jpg,a sidewalk with cracks in it
Uneven Pavements,IMG20251010115442.jpg,a crack in the road
Uneven Pavements,IMG20251010115448.jpg,an empty street with a stone wall in the background
Uneven Pavements,IMG20251010115850.jpg,a bunch of bricks sitting on the ground
Uneven Pavements,IMG20251010120710.jpg,a manhole in the sidewalk of a street
Uneven Pavements,IMG20251010122146.jpg,a yellow scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr scr
Uneven Pavements,IMG_6610.JPG,a crack in the road
Uneven Pavements,IMG_6611.JPG,a manhole on the sidewalk in front of a building
Uneven Pavements,IMG_6613.JPG,a sidewalk with cracks in it
Uneven Pavements,IMG_6614.JPG,a shadow of a person on the ground
Uneven Pavements,IMG_6617.JPG,a sidewalk with cracks and dirt on it
Uneven Pavements,IMG_6618.JPG,a soccer field with a soccer field in the background
Uneven Pavements,IMG_6625.JPG,a hole in the ground
Uneven Pavements,IMG_6626.JPG,a concrete wall with cracks and cracks in it
Uneven Pavements,IMG_6628.JPG,a white car parked on the side of a road
Uneven Pavements,IMG_6629.JPG,a sidewalk with cracks in it
Uneven Pavements,IMG_6630.JPG,a motorcycle parked on the side of a road
Uneven Pavements,IMG_6631.JPG,a small hole in the ground next to a tree
Uneven Pavements,IMG_6632.JPG,a white car parked on the side of a road
Uneven Pavements,IMG_6633.JPG,a small animal ' s footprints on the ground
Uneven Pavements,IMG_6634.JPG,the shadow of a person standing on the ground
Uneven Pavements,IMG_6635.JPG,a pothole in the road
Uneven Pavements,IMG_6636.JPG,a pile of garbage on the side of a road
Uneven Pavements,IMG_6637.JPG,a pile of garbage sits on the side of a road
Uneven Pavements,IMG_6638.JPG,a small bird that is laying on the ground
Uneven Pavements,IMG_6643.JPG,a manhole in the ground next to a sidewalk
Uneven Pavements,IMG_6646.JPG,a wall with a hole in the middle of it
Uneven Pavements,IMG_6648.JPG,a man is standing on the side of a building
Uneven Pavements,IMG_6649.JPG,a brick wall with a red and white sign on it
Uneven Pavements,IMG_6650.JPG,a red bike parked on the side of a road
Uneven Pavements,IMG_6651.JPG,a road with a lot of dirt on it
